Model	Score_F1	Score_MCC	Score_ROC
svm_linear_0	0.9910552508615319	0.9899445326033549	0.9975518814944498
svm_linear_1	0.9910358545731827	0.989908932500425	0.9962788971378649
svm_linear_2	0.9970085294143061	0.996635621082091	0.9988273255027524
svm_linear_3	0.9940211103217295	0.9932919971068312	0.9986415079302196
svm_linear_4	0.9910742393421063	0.9899116948901548	0.9987682775761092
svm_linear_5	0.9940188378018598	0.993261899933437	0.9986449667897978
svm_linear_6	0.9940188378018598	0.993261899933437	0.9978177029378645
svm_linear_7	0.9820479523496157	0.9799181628128709	0.9950112203031288
svm_linear_8	0.9880212176575333	0.9865602480444766	0.9980310221450253
svm_linear_9	0.9940188378018598	0.993261899933437	0.9977200410369346
