Model	Score_F1	Score_MCC	Score_ROC
neural_network_0	0.9910552508615319	0.9899445326033549	0.9973336666076076
neural_network_1	0.9726506832939129	0.9698357694148872	0.9987968422097998
neural_network_2	0.9940201084970369	0.9932716528372021	0.9992033831148429
neural_network_3	0.9910326894044603	0.9899285081625263	0.9995424401856156
neural_network_4	0.9910742393421063	0.9899116948901548	0.9992461210377351
neural_network_5	0.9910304168845908	0.9898985165393254	0.9995268917177886
neural_network_6	0.9910304168845908	0.9898985165393254	0.9996303838254799
neural_network_7	0.9820479523496157	0.9799181628128709	0.9935532937050807
neural_network_8	0.9880212176575333	0.9865602480444766	0.9994549837201859
neural_network_9	0.9880493871250499	0.9865554681191763	0.9993388889172345
