Model	Score_F1	Score_MCC	Score_ROC
random_forest_0	0.9910552508615319	0.9899445326033549	0.9987604678628845
random_forest_1	0.9940188378018598	0.993261899933437	0.999985678481919
random_forest_2	1.0	1.0	1.0
random_forest_3	0.9910700635367381	0.9899453349886865	0.9998868913681491
random_forest_4	0.9940287492242406	0.9932628209423306	0.9988267625528889
random_forest_5	0.9940188378018598	0.993261899933437	0.9990385439615723
random_forest_6	0.9970085294143061	0.996635621082091	0.9999795957568584
random_forest_7	0.9850049447712197	0.9832323013499462	0.993458122959033
random_forest_8	0.9970085294143061	0.996635621082091	0.9988527105041017
random_forest_9	1.0	1.0	1.0
